Config,Subject,Condition,Status,Shape
cov_2s_50ov,G35,CPT,Success,"(446, 8, 8)"
cov_2s_50ov,G36,EC,Success,"(214, 8, 8)"
cov_2s_50ov,G36,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G37,EC,Success,"(208, 8, 8)"
cov_2s_50ov,G37,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G38,EC,Success,"(184, 8, 8)"
cov_2s_50ov,G38,CPT,Success,"(433, 8, 8)"
cov_2s_50ov,G39,EC,Success,"(207, 8, 8)"
cov_2s_50ov,G39,CPT,No data found,N/A
cov_2s_50ov,G40,EC,Success,"(105, 8, 8)"
cov_2s_50ov,G40,CPT,No data found,N/A
cov_2s_50ov,G41,EC,Success,"(211, 8, 8)"
cov_2s_50ov,G41,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G42,EC,Success,"(211, 8, 8)"
cov_2s_50ov,G42,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G43,EC,Success,"(211, 8, 8)"
cov_2s_50ov,G43,CPT,Success,"(448, 8, 8)"
cov_4s_0ov,G01,EC,Success,"(23, 8, 8)"
cov_4s_0ov,G01,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G02,EC,No data found,N/A
cov_4s_0ov,G02,CPT,No data found,N/A
cov_4s_0ov,G03,EC,Success,"(52, 8, 8)"
cov_4s_0ov,G03,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G04,EC,Success,"(53, 8, 8)"
cov_4s_0ov,G04,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G05,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G05,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G06,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G06,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G07,EC,Success,"(61, 8, 8)"
cov_4s_0ov,G07,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G08,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G08,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G09,EC,Success,"(54, 8, 8)"
cov_4s_0ov,G09,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G10,EC,No data found,N/A
cov_4s_0ov,G10,CPT,No data found,N/A
cov_4s_0ov,G11,EC,Success,"(55, 8, 8)"
cov_4s_0ov,G11,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G12,EC,Success,"(50, 8, 8)"
cov_4s_0ov,G12,CPT,No data found,N/A
cov_4s_0ov,G13,EC,Success,"(54, 8, 8)"
cov_4s_0ov,G13,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G14,EC,Success,"(27, 8, 8)"
cov_4s_0ov,G14,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G15,EC,Success,"(60, 8, 8)"
cov_4s_0ov,G15,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G16,EC,Success,"(60, 8, 8)"
cov_4s_0ov,G16,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G17,EC,Success,"(60, 8, 8)"
cov_4s_0ov,G17,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G18,EC,Success,"(60, 8, 8)"
cov_4s_0ov,G18,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G19,EC,Success,"(61, 8, 8)"
cov_4s_0ov,G19,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G20,EC,Success,"(60, 8, 8)"
cov_4s_0ov,G20,CPT,Success,"(112, 8, 8)"
cov_4s_0ov,G21,EC,Success,"(55, 8, 8)"
